sample-id	Water_Company	Site_Name	Site_Description	Reservoir	Date	Month	Volume_mL	Time_of_sampling	Filter_Type	Depth_m	Depth_category
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	numeric	categorical
FL_WW_298_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	03_10_2024	OCT	500	11_30_00	Smith_Root	0	
FL_WW_299_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	03_10_2024	OCT	500	11_50_00	Smith_Root	0	
FL_WW_300_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	03_10_2024	OCT	500	12_10_00	Smith_Root	0	
FL_WW_308_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	17_10_2024	OCT	500	10_45_00	Smith_Root	0	
FL_WW_309_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	17_10_2024	OCT	500	11_10_00	Smith_Root	0	
FL_WW_310_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	17_10_2024	OCT	500	11_27_00	Smith_Root	0	
FL_WW_316_16S	DCWW	Pontsticill_draw_off	Draw-off-tower	Pontsticill	30_10_2024	OCT	520	09_00_00	Smith_Root		
FL_WW_320_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	31_10_2024	OCT	500	10_35_00	Smith_Root	0	
FL_WW_321_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	31_10_2024	OCT	500	10_52_00	Smith_Root	0	
FL_WW_322_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	31_10_2024	OCT	500	10_57_00	Smith_Root	0	
FL_WW_330_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	14_11_2024	NOV	500	10_30_00	Smith_Root	0	
FL_WW_331_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	14_11_2024	NOV	500	10_47_00	Smith_Root	0	
FL_WW_332_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	14_11_2024	NOV	500	10_59_00	Smith_Root	0	
FL_WW_338_16S	DCWW	Pontsticill_draw_off	Draw-off-tower	Pontsticill	15_11_2024	NOV	500	11_43_00	Smith_Root		
FL_WW_340_16S	DCWW	Pontsticill_draw_off	Draw-off-tower	Pontsticill	27_11_2024	NOV	500		Smith_Root		
FL_WW_344_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	28_11_2024	NOV	460	10_43_00	Smith_Root	0	
FL_WW_345_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	28_11_2024	NOV	510	10_59_00	Smith_Root	0	
FL_WW_346_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	28_11_2024	NOV	500	11_10_00	Smith_Root	0	
FL_WW_435_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	29_05_2025	MAY	500	10_14_00	Nalgene	0	
FL_WW_436_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	29_05_2025	MAY	500	10_29_00	Nalgene	0	
FL_WW_437_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	29_05_2025	MAY	500	10_39_00	Nalgene	0	
FL_WW_439_16S	DCWW	Pontsticill_draw_off	Draw-off-tower	Pontsticill	28_05_2025	MAY	500	11_25_00	Nalgene		middle
FL_WW_447_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	12_06_2025	JUNE	500	10_06_00	Nalgene	0	
FL_WW_448_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	12_06_2025	JUNE	500	10_20_00	Nalgene	0	
FL_WW_449_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	12_06_2025	JUNE	500	10_33_00	Nalgene	0	
FL_WW_451_16S	DCWW	Pontsticill_draw_off	Draw-off-tower	Pontsticill	11_06_2025	JUNE	500	10_15_00	Nalgene		
FL_WW_459_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	26_06_2025	JUNE	500	10_01_00	Nalgene	0	
FL_WW_460_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	26_06_2025	JUNE	500	10_14_00	Nalgene	0	
FL_WW_461_16S	DCWW	Site_06	Pontsticill_Bottom	Pontsticill	26_06_2025	JUNE	500	10_24_00	Nalgene	0	
FL_WW_463_16S	DCWW	Pontsticill_draw_off	Draw-off-tower	Pontsticill	25_06_2025	JUNE	500		Nalgene		middle
FL_WW_471_16S	DCWW	Site_04	Pontsticill_Top	Pontsticill	10_07_2025	JULY	500	10_01_00	Nalgene	0	
FL_WW_472_16S	DCWW	Site_05	Pontsticill_Mid	Pontsticill	10_07_2025	JULY	500	10_17_00	Nalgene	0	
